,Crypto Name,Crypto Price,Market Cap
0,Bitcoin USD,98575.57,1.952T
1,Ethereum USD,3434.08,413.678B
2,Tether USDt USD,0.999188,139.315B
3,XRP USD,2.2604,129.412B
4,BNB USD,702.96,101.231B
5,Solana USD,194.91,93.467B
6,Dogecoin USD,0.325974,48.034B
7,USD Coin USD,1.0000,43.156B
8,Lido Staked ETH USD,3434.88,33.216B
9,Cardano USD,0.894812,31.436B
10,Wrapped TRON USD,0.256163,22.394B
11,TRON USD,0.256051,22.074B
12,Avalanche USD,39.30,16.107B
13,Chainlink USD,23.78,15.174B
14,Toncoin USD,5.9081,15.078B
15,Lido wstETH USD,4099.53,15.046B
16,Shiba Inu USD,0.000022,13.157B
17,Wrapped Bitcoin USD,98441.87,13.094B
18,Sui USD,4.3901,12.853B
19,Hedera USD,0.310002,11.858B
20,WETH USD,3455.39,11.663B
21,Stellar USD,0.374323,11.338B
22,Polkadot USD,7.2875,11.167B
23,Bitget Token USD,6.4449,9.023B
24,Bitcoin Cash USD,453.95,8.991B
